date,AveWindDir_deg,AveWindSp_ms_mean,AveWindDir_cove_mean,AveWindSp_ms_median,AveWindDir_cove_median,AveWindSp_ms_min,AveWindSp_ms_max,AveWindSp_ms_sd,AveWindDir_deg_1daylag,AveWindSp_ms_mean_1daylag,AveWindDir_cove_mean_1daylag,AveWindSp_ms_median_1daylag,AveWindDir_cove_median_1daylag,AveWindSp_ms_min_1daylag,AveWindSp_ms_max_1daylag,AveWindSp_ms_sd_1daylag,AveWindDir_deg_2daylag,AveWindSp_ms_mean_2daylag,AveWindDir_cove_mean_2daylag,AveWindSp_ms_median_2daylag,AveWindDir_cove_median_2daylag,AveWindSp_ms_min_2daylag,AveWindSp_ms_max_2daylag,AveWindSp_ms_sd_2daylag,AveWindDir_deg_3daylag,AveWindSp_ms_mean_3daylag,AveWindDir_cove_mean_3daylag,AveWindSp_ms_median_3daylag,AveWindDir_cove_median_3daylag,AveWindSp_ms_min_3daylag,AveWindSp_ms_max_3daylag,AveWindSp_ms_sd_3daylag,AveWindDir_deg_1weeklag,AveWindSp_ms_mean_1weeklag,AveWindDir_cove_mean_1weeklag,AveWindSp_ms_median_1weeklag,AveWindDir_cove_median_1weeklag,AveWindSp_ms_min_1weeklag,AveWindSp_ms_max_1weeklag,AveWindSp_ms_sd_1weeklag,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2009-08-06,266.7835416666667,2.9292708333333333,1,2.530833333333333,1,1.7149999999999999,4.9375,0.9588527046470365,261.3208333333333,3.6660763888888885,1,3.717083333333333,1,1.4233333333333333,5.7491666666666665,1.4005767548858181,192.52044444444445,2.5764930555555554,0.7083333333333334,2.5,1,0.5783333333333334,5.508333333333333,1.3641933252635563,255.15687499999999,2.6996527777777777,0.9166666666666666,2.9208333333333334,1,0.885,3.6799999999999993,0.8174901540524049,254.57340277777777,3.0888541666666667,1,3.1341666666666663,1,1.1175,5.475,1.030855632030094,70.3025,158.28833333333333,220.12416666666667,367.12,470.6475,NA,NA,70.3025,158.28833333333333,NA,NA,NA
2009-08-13,127.75861111111112,2.063236111111111,0.25,2.1774999999999998,0,0.6833333333333333,3.2625,0.835467490292078,134.34195833333334,2.8150069444444443,0.041666666666666664,2.779166666666667,0,1.09,4.748333333333333,1.121523528648417,202.9577536231884,2.267840579710145,0.5217391304347826,1.9749999999999999,1,0.7358333333333333,4.680833333333333,1.0491671979663382,252.45003472222223,3.0838541666666663,0.9583333333333334,3.173333333333333,1,1.1433333333333333,5.145,1.13129291528548,266.7835416666667,2.9292708333333333,1,2.530833333333333,1,1.7149999999999999,4.9375,0.9588527046470365,49.51766666666666,117.07783333333333,170.3815,310.6798333333333,482.2468333333333,701.4026666666666,953.4793333333333,NA,NA,NA,68.58683333333333,NA
2009-08-20,168.40124305555557,2.5159374999999997,0.2916666666666667,2.378333333333333,0,0.8675,4.505833333333333,1.0528236221026037,251.71041666666667,3.0942708333333333,1,3.0825,1,1.3391666666666666,4.676666666666667,1.0315354366356126,249.72847222222222,3.5346527777777776,1,4.00875,1,0.7400000000000001,5.404166666666666,1.4680088127102122,244.11589583333333,2.5538541666666665,0.875,2.7566666666666664,1,0.7191666666666667,3.9883333333333333,0.9613982436433065,127.75861111111112,2.063236111111111,0.25,2.1774999999999998,0,0.6833333333333333,3.2625,0.835467490292078,60.38249999999999,134.64499999999998,219.47666666666666,322.1525,417.3711666666666,587.7526666666666,899.6179999999999,61.28916666666667,158.09166666666667,NA,NA,NA
2009-08-27,296.91819444444445,3.341381944444444,1,3.3724999999999996,1,1.3050000000000002,5.320833333333333,1.1049274360058974,267.1763888888889,4.522076388888888,1,4.208583333333333,1,2.8741666666666665,6.708333333333334,1.1522182942195542,256.6611111111111,2.644131944444444,1,2.6624999999999996,1,1.5733333333333333,3.8916666666666666,0.5518755066397719,271.54805555555555,2.1315277777777775,0.9583333333333334,2.256666666666667,1,0.8566666666666667,3.7341666666666664,0.7514400694259046,168.40124305555557,2.5159374999999997,0.2916666666666667,2.378333333333333,0,0.8675,4.505833333333333,1.0528236221026037,80.19316666666666,188.72299999999998,252.18216666666666,367.1488333333333,490.9115,710.3881666666666,908.2826666666666,80.19316666666666,188.72299999999998,252.18216666666666,NA,NA
2009-09-01,261.0148125,2.5017777777777774,0.875,2.5687499999999996,1,1.0925,3.8808333333333334,0.8428879397078782,297.10285416666665,4.006138888888889,1,4.01875,1,1.1633333333333333,6.1,1.477505783330325,239.9307777777778,2.536,0.9166666666666666,2.4745833333333334,1,1.5016666666666665,4.473333333333334,0.7845618119147629,107.12180555555555,5.234465277777778,0.041666666666666664,5.88725,0,1.4728333333333334,7.63,1.7472057892526534,256.6611111111111,2.644131944444444,1,2.6624999999999996,1,1.5733333333333333,3.8916666666666666,0.5518755066397719,60.04266666666666,156.19,217.05399999999997,405.9703333333333,594.6933333333333,773.1191666666666,1031.5268333333333,60.98416666666666,161.39816666666667,NA,NA,NA
2009-09-08,250.21868055555555,2.5664374999999997,0.7916666666666666,2.1804166666666664,1,0.9791666666666667,4.541666666666666,1.119161041470426,249.26652777777778,1.9646180555555555,0.9583333333333334,1.96,1,0.8633333333333333,3.038333333333333,0.6395859346671673,151.3367986111111,2.7852638888888888,0.20833333333333334,2.595833333333333,0,1.2483333333333333,4.534166666666666,0.8087914015366865,304.7438888888889,3.7591041666666665,1,3.6791666666666663,1,1.8958333333333333,5.9275,1.2051440056799554,261.0148125,2.5017777777777774,0.875,2.5687499999999996,1,1.0925,3.8808333333333334,0.8428879397078782,61.5945,108.74533333333332,175.59166666666667,325.2103333333333,422.78066666666666,639.8346666666666,1017.4739999999999,59.18533333333333,NA,NA,NA,NA
2009-09-15,270.75695138888887,3.567013888888889,0.9166666666666666,3.8554166666666667,1,1.3266666666666667,5.324166666666667,1.2736389182188217,277.0083333333333,3.2008680555555555,1,3.149583333333333,1,1.4266666666666667,5.3774999999999995,0.9459165174161472,291.28125,3.3366388888888885,1,3.5275,1,1.3505,4.8808333333333325,1.1993072453546105,73.885,2.9265555555555554,0.041666666666666664,2.8625833333333333,0,1.0908333333333333,5.0633333333333335,0.9034708672062974,250.21868055555555,2.5664374999999997,0.7916666666666666,2.1804166666666664,1,0.9791666666666667,4.541666666666666,1.119161041470426,85.60833333333333,162.42916666666665,242.50849999999997,392.5868333333333,526.4076666666666,701.9993333333333,949.1883333333333,87.5045,171.61066666666665,NA,NA,NA
2009-09-21,179.1119375,2.2423819444444444,0.375,2.3329166666666667,0,0.4716666666666667,4.025833333333333,0.9671833058170137,265.32916666666665,3.0723125,1,3.245916666666666,1,1.4941666666666666,5.026666666666666,0.8791925675317893,296.26875,4.643951388888889,1,5.155833333333333,1,1.6358333333333333,7.9783333333333335,1.5040100002551686,275.7972222222222,5.319638888888889,1,5.536666666666667,1,2.3966666666666665,7.742500000000001,1.5786826095841884,277.0083333333333,3.2008680555555555,1,3.149583333333333,1,1.4266666666666667,5.3774999999999995,0.9459165174161472,53.817166666666665,127.55266666666665,239.0075,422.8136666666666,586.8589999999999,813.9965,1089.2528333333332,68.65833333333333,163.46099999999998,308.0333333333333,NA,NA
2009-09-28,219.76430555555555,3.6206805555555555,0.8333333333333334,3.3946666666666667,1,1.5833333333333333,5.7091666666666665,1.0588100374717295,129.44055555555556,3.4770069444444442,0.16666666666666666,3.5575,0,1.4308333333333334,5.2325,0.9244943159846046,192.7913888888889,3.038861111111111,0.625,2.6775,1,1.2471666666666665,5.806666666666667,1.555215080320002,292.8168541666667,4.541791666666667,0.9583333333333334,4.2575,1,1.5583333333333333,8.2716666666666665,2.2844542923086344,179.1119375,2.2423819444444444,0.375,2.3329166666666667,0,0.4716666666666667,4.025833333333333,0.9671833058170137,86.89633333333333,170.34449999999998,243.27716666666666,443.11066666666665,591.552,830.5595,1178.4109999999998,NA,NA,NA,NA,NA
2009-10-05,261.58958333333334,4.500090277777778,1,4.208333333333333,1,2.3825,6.623333333333333,1.1151909511099884,253.87306944444444,1.9855,0.9166666666666666,1.8641666666666665,1,1.1025,3.626666666666667,0.5943249367431781,87.9642361111111,3.7880416666666665,0,4.064916666666667,0,1.085,6.089166666666667,1.4786438314597634,209.5847222222222,2.934631944444444,0.6666666666666666,2.7993333333333332,1,1.51,3.9881666666666664,0.7058137233200928,219.76430555555555,3.6206805555555555,0.8333333333333334,3.3946666666666667,1,1.5833333333333333,5.7091666666666665,1.0588100374717295,108.00216666666665,155.65416666666667,246.56716666666665,403.3238333333333,598.7308333333333,842.0079999999999,1190.2828333333332,108.00216666666665,NA,NA,NA,NA
2010-05-25,266.7603472222222,2.0724305555555556,0.9583333333333334,1.965,1,1.2483333333333335,3.3333333333333335,0.6761154639347178,234.75861111111112,1.8444444444444446,0.7083333333333334,1.8883333333333334,1,0.9883333333333334,2.6083333333333334,0.542726759008287,142.17749305555557,2.178263888888889,0.2916666666666667,1.9741666666666666,0,0.7450000000000001,3.9283333333333337,1.0230832767194757,133.10097222222223,2.5074305555555556,0.08333333333333333,2.2675,0,0.7283333333333333,4.484999999999999,0.9860161118083068,NA,NA,NA,NA,NA,NA,NA,NA,49.73833333333334,94.005,146.28333333333333,249.78666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-04,204.7082638888889,1.8225694444444445,0.5416666666666666,1.9333333333333331,1,0.87,3.3416666666666663,0.5477728246559534,250.216875,2.743958333333333,0.875,2.8075,1,1.4366666666666668,4.755,0.7892127203708573,202.6099722222222,2.009097222222222,0.75,1.7100000000000002,1,0.7533333333333334,3.79,0.9555766879544502,267.8248611111111,3.2088888888888887,0.9583333333333334,3.4483333333333333,1,0.9983333333333334,5.413333333333333,1.1983736630921569,141.77865277777778,1.851875,0.3333333333333333,1.8066666666666666,0,0.6383333333333333,3.063333333333333,0.628771002857015,43.74166666666667,109.59666666666666,157.815,302.8333333333333,469.71666666666664,682.625,889.0866666666667,62.49333333333333,NA,NA,NA,NA
2010-06-10,126.97541666666666,3.2869444444444444,0,3.1083333333333334,0,1.6816666666666666,5.115,0.9596816182326257,248.08333333333334,3.3791666666666664,0.875,2.7041666666666666,1,2.0233333333333334,7.025,1.3164317346817853,297.7678888888889,4.646944444444444,0.9583333333333334,4.6525,1,1.3550000000000002,6.923333333333333,1.5366745784532299,300.70208333333335,4.168611111111111,1,4.330833333333333,1,1.3350000000000002,6.425,1.4567722631664426,250.216875,2.743958333333333,0.875,2.8075,1,1.4366666666666668,4.755,0.7892127203708573,78.88666666666667,159.98666666666665,271.5133333333333,469.6333333333333,603.3383333333334,794.425,1073.7583333333332,NA,NA,NA,78.88666666666667,NA
2010-06-15,285.01175,3.5503472222222223,0.9583333333333334,3.3666666666666667,1,1.5666666666666669,6.64,1.4835772457958352,255.775875,2.5414583333333334,0.875,2.3916666666666666,1,0.7616666666666667,4.468333333333333,0.9697426463349813,129.01299305555554,2.4370138888888886,0.25,2.7091666666666665,0,0.5783333333333334,4.015,1.1229106179199477,168.32881944444443,2.1893055555555554,0.4166666666666667,2.180833333333333,0,0.9650000000000001,3.675,0.5738811666170494,297.7678888888889,4.646944444444444,0.9583333333333334,4.6525,1,1.3550000000000002,6.923333333333333,1.5366745784532299,85.20833333333333,146.20333333333332,204.69166666666666,290.39666666666665,450.3833333333333,760.03,1007.8083333333333,88.47166666666666,NA,NA,NA,NA
2010-06-24,263.46594444444446,4.027638888888889,0.9166666666666666,3.9008333333333334,1,1.3116666666666668,6.588333333333333,1.5781958540638164,234.88895833333333,3.3879166666666665,0.75,3.53,1,1.1166666666666667,5.923333333333333,1.5657262248270325,196.46125,2.1747916666666667,0.7083333333333334,2.0666666666666664,1,0.4766666666666667,3.9516666666666667,0.9545954593135403,282.7218402777778,3.712847222222222,0.9166666666666666,3.7841666666666667,1,1.9033333333333333,5.609999999999999,1.1036895172662233,277.44734027777776,3.620902777777778,0.9166666666666666,3.208333333333333,1,1.2983333333333333,6.471666666666667,1.586930694385933,96.66333333333333,177.97333333333333,230.16833333333332,400.73,566.0716666666666,799.01,1004.1983333333333,NA,NA,NA,NA,NA
2010-07-01,287.47222222222223,4.294444444444444,1,4.130833333333333,1,2.3666666666666667,6.675,1.3492637701417278,275.07708333333335,4.410486111111111,1,4.405833333333334,1,1.645,6.4,1.4784870742702552,276.41805555555555,4.400486111111111,1,4.9625,1,1.03,6.826666666666666,1.8657991953797899,204.12326388888889,3.0677777777777777,0.625,3.0908333333333333,1,0.9633333333333334,6.471666666666667,1.3917953743022522,263.46594444444446,4.027638888888889,0.9166666666666666,3.9008333333333334,1,1.3116666666666668,6.588333333333333,1.5781958540638164,103.06666666666666,208.91833333333332,314.53,438.45166666666665,581.525,811.6933333333333,1147.5966666666666,103.06666666666666,208.91833333333332,314.53,NA,NA
2010-07-08,158.63569444444445,2.7471527777777776,0.3333333333333333,2.6825,0,0.8533333333333334,4.706666666666667,1.0688838459473573,127.12320138888889,1.3992361111111111,0.125,1.3933333333333333,0,0.7133333333333333,2.915,0.4837701622124094,247.5471736111111,3.057777777777778,0.7083333333333334,2.865,1,0.7766666666666666,5.931666666666667,1.8057952646527209,274.38454861111114,2.2227083333333333,0.9583333333333334,2.5133333333333328,1,0.9783333333333334,3.2466666666666666,0.7776360518303406,287.47222222222223,4.294444444444444,1,4.130833333333333,1,2.3666666666666667,6.675,1.3492637701417278,65.93166666666667,99.51333333333334,172.9,314.62166666666667,474.78,789.31,1056.305,NA,NA,NA,40.89666666666667,NA
2010-07-15,146.63069444444443,2.3411805555555554,0.08333333333333333,2.038333333333333,0,0.9416666666666667,4.088333333333333,0.9911093281176419,96.894375,2.504652777777778,0.041666666666666664,2.2866666666666666,0,1.1816666666666666,4.403333333333333,0.8257613935185907,150.17065277777778,2.267986111111111,0.25,2.0983333333333336,0,0.8500000000000001,4.28,0.8936234088810348,188.8077361111111,2.980625,0.7083333333333334,2.578333333333333,1,0.7433333333333334,6.706666666666666,1.6862729972862673,158.63569444444445,2.7471527777777776,0.3333333333333333,2.6825,0,0.8533333333333334,4.706666666666667,1.0688838459473573,56.18833333333333,116.3,170.73166666666665,289.4916666666667,461.1933333333333,634.0933333333334,935.9733333333334,NA,NA,NA,NA,NA
2010-07-22,288.94305555555553,4.007777777777777,1,3.985833333333333,1,2.0516666666666667,6.051666666666667,1.250360592111715,220.37769444444444,3.1756944444444444,0.8333333333333334,2.8449999999999998,1,0.5116666666666667,6.343333333333334,1.798215561862458,263.2685416666667,2.1655555555555557,0.9583333333333334,2.1875,1,0.9216666666666666,3.235,0.652816578145878,236.98347222222222,2.315486111111111,0.9166666666666666,2.0375,1,0.7766666666666667,4.1049999999999995,0.965460576824645,146.63069444444443,2.3411805555555554,0.08333333333333333,2.038333333333333,0,0.9416666666666667,4.088333333333333,0.9911093281176419,96.18666666666667,172.40333333333334,224.37666666666667,388.99666666666667,557.115,727.8466666666667,1018.3083333333333,96.18666666666667,NA,NA,NA,NA
2010-07-29,287.11379166666666,4.343541666666667,1,4.3,1,1.875,6.413333333333334,1.4613240399990781,215.85243055555554,3.9138194444444445,0.75,4.298333333333334,1,0.7083333333333334,6.3133333333333335,1.8316535439631376,290.81111111111113,3.997847222222222,1,4.476666666666667,1,1.415,6.581666666666666,1.5988695039370686,291.1951388888889,5.450347222222222,1,5.698333333333334,1,2.2683333333333335,7.708333333333333,1.7020163503337866,288.94305555555553,4.007777777777777,1,3.985833333333333,1,2.0516666666666667,6.051666666666667,1.250360592111715,104.245,198.17666666666668,294.125,514.3333333333334,631.7666666666667,856.1433333333333,1188.8816666666667,104.245,NA,NA,NA,NA
2010-08-05,248.95416666666665,2.7490277777777776,1,2.546666666666667,1,1.2716666666666667,4.7716666666666665,0.9513765664422911,241.22056944444444,3.841736111111111,0.9166666666666666,4.535833333333333,1,1.0766666666666667,5.58,1.4987658754979598,238.33402777777778,3.6714583333333333,1,3.433333333333333,1,1.62,6.083333333333333,1.100584639595267,136.2534375,1.8598611111111112,0.3333333333333333,1.8791666666666669,0,0.7816666666666666,3.3200000000000003,0.6415959713863506,287.11379166666666,4.343541666666667,1,4.3,1,1.875,6.413333333333334,1.4613240399990781,65.97666666666666,158.17833333333334,246.29333333333332,346.68,475.955,770.08,1107.7216666666666,65.97666666666666,NA,NA,NA,NA
2010-08-12,118.93104166666666,3.2794444444444446,0,3.4783333333333335,0,1.5166666666666666,4.815,0.9750874687219682,238.542125,2.327986111111111,0.75,2.2908333333333335,1,1.0250000000000001,3.5366666666666666,0.8186412064631761,221.72058333333334,1.823611111111111,0.7083333333333334,1.6125,1,0.6866666666666666,3.911666666666666,0.8146036745177633,239.77654166666667,3.585,0.875,3.9916666666666663,1,0.9733333333333334,5.963333333333333,1.3800070888286737,248.95416666666665,2.7490277777777776,1,2.546666666666667,1,1.2716666666666667,4.7716666666666665,0.9513765664422911,78.70666666666666,134.57833333333332,178.345,339.505,511.055,757.3483333333334,987.01,NA,NA,NA,78.70666666666666,NA
2010-08-19,250.46395833333332,2.6890277777777776,0.875,2.7183333333333337,1,1.1300000000000001,5.3116666666666665,1.1683155962873133,238.163625,2.1424305555555554,0.7916666666666666,1.9141666666666666,1,0.9266666666666667,4.551666666666667,0.9836198279733317,272.22785416666665,3.710347222222222,1,3.565833333333333,1,1.8833333333333333,5.971666666666667,1.2046426875342038,220.46527777777777,3.5535416666666664,0.875,3.6891666666666665,1,1.9516666666666667,5.319999999999999,0.9260590376339809,118.93104166666666,3.2794444444444446,0,3.4783333333333335,0,1.5166666666666666,4.815,0.9750874687219682,64.53666666666666,115.955,205.00333333333333,387.45166666666665,515.3333333333334,693.6783333333333,1026.3883333333333,NA,NA,NA,NA,NA
2010-08-26,285.0826388888889,3.861666666666667,1,3.6125,1,2.1033333333333335,6.086666666666667,1.2158998973544135,130.62078472222223,4.037916666666667,0.2916666666666667,4.1049999999999995,0,2.23,6.013333333333334,1.0682239820587303,85.32840277777778,4.925,0,4.706666666666667,0,3.2733333333333334,7.133333333333333,1.200418103490782,78.64708333333333,5.554722222222222,0,5.720833333333333,0,3.623333333333333,7.34,1.2338986822798885,250.46395833333332,2.6890277777777776,0.875,2.7183333333333337,1,1.1300000000000001,5.3116666666666665,1.1683155962873133,92.67999999999999,189.59,307.79,544.2733333333333,693.0466666666666,898.05,1208.3799999999999,92.67999999999999,NA,NA,NA,NA
2010-09-02,235.2830625,2.5600694444444443,0.7916666666666666,2.7541666666666664,1,0.8916666666666667,4.906666666666667,1.348800189609096,216.92436111111112,1.9150694444444445,0.75,1.6275,1,0.7733333333333333,4.126666666666667,0.9693206295599507,242.6558611111111,2.716736111111111,0.7083333333333334,2.5733333333333333,1,0.71,5.183333333333333,1.5410956231218993,293.7066388888889,3.4364583333333334,1,3.1441666666666666,1,1.5733333333333333,6.165,1.4533475694439701,285.0826388888889,3.861666666666667,1,3.6125,1,2.1033333333333335,6.086666666666667,1.2158998973544135,61.44166666666667,107.40333333333334,172.605,331.745,499.795,807.585,1192.8416666666667,NA,NA,NA,NA,NA
2010-09-09,277.25069444444443,3.7154166666666666,1,3.605833333333333,1,2.341666666666667,5.226666666666667,0.6082898038823653,250.75027777777777,4.6625,0.9583333333333334,4.7716666666666665,1,1.1283333333333334,7.546666666666667,1.6317387957588496,225.33102083333333,3.062222222222222,0.8333333333333334,3.285,1,1.2550000000000001,4.283333333333333,0.8972972927419299,266.125,3.2584027777777775,1,3.333333333333333,1,1.6700000000000002,5.151666666666666,1.2017032476659475,235.2830625,2.5600694444444443,0.7916666666666666,2.7541666666666664,1,0.8916666666666667,4.906666666666667,1.348800189609096,89.17,201.07,274.56333333333333,478.9683333333333,669.4366666666666,842.0416666666666,1169.2316666666666,89.17,NA,NA,NA,NA
2010-09-16,217.42659722222223,3.047638888888889,0.75,3.0324999999999998,1,1.465,4.4399999999999995,0.852734860995022,290.05347222222224,3.9258333333333333,1,3.745833333333333,1,2.0883333333333334,6.398333333333333,1.1990419887648873,271.90277777777777,3.7235416666666667,1,3.8708333333333336,1,1.6733333333333333,5.503333333333334,1.2151353588046854,160.2878472222222,2.2977777777777777,0.25,2.250833333333333,0,1.2200000000000002,3.195,0.49700422987018594,277.25069444444443,3.7154166666666666,1,3.605833333333333,1,2.341666666666667,5.226666666666667,0.6082898038823653,73.14333333333333,167.36333333333332,256.72833333333335,407.00333333333333,587.6766666666666,862.24,1257.1133333333332,71.93333333333334,161.78166666666667,NA,NA,NA
2010-09-23,210.29408333333333,2.3195833333333336,0.5416666666666666,2,1,0.7383333333333333,5.388333333333334,1.0458940019356762,261.2791666666667,4.029861111111111,1,4.135,1,1.7783333333333333,6.3966666666666665,1.2896780780832737,262.0444444444444,3.3159722222222223,1,3.046666666666667,1,1.9133333333333333,5.585,1.1330465234559524,281.36227777777776,4.431111111111111,0.875,3.7891666666666666,1,1.305,7.725,2.371475909031663,217.42659722222223,3.047638888888889,0.75,3.0324999999999998,1,1.465,4.4399999999999995,0.852734860995022,55.67,152.38666666666666,231.97,394.71999999999997,556.1266666666667,812.855,1143.8033333333333,74.255,175.355,261.9533333333333,NA,NA
2010-09-30,129.20960416666668,3.9788194444444445,0.20833333333333334,2.8941666666666666,0,0.9633333333333334,7.995,2.533396236784198,214.28522916666668,3.2715277777777776,0.75,3.7116666666666664,1,0.8133333333333334,5.673333333333333,1.540164675042246,154.4125,4.146527777777778,0.16666666666666666,4.148333333333333,0,2.4433333333333334,6.1416666666666675,0.8775750125069023,106.70138888888889,4.198402777777778,0,4.268333333333333,0,3.08,5.04,0.5026654747531968,210.29408333333333,2.3195833333333336,0.5416666666666666,2,1,0.7383333333333333,5.388333333333334,1.0458940019356762,95.49166666666666,174.00833333333333,273.525,460.7,659.6266666666667,891.5966666666667,1215.7533333333333,NA,NA,NA,NA,NA
2010-10-07,278.7993055555556,5.431527777777777,1,5.648333333333333,1,3.506666666666667,7.448333333333333,1.3987911375676652,107.28152777777778,5.342361111111111,0.08333333333333333,5.443333333333333,0,1.9683333333333335,8.879999999999999,2.1136031645886364,95.07034722222222,4.267847222222222,0,3.9116666666666666,0,2.285,6.668333333333333,1.286809284651153,80.80638888888889,4.8753472222222225,0,4.6425,0,2.4783333333333335,7.161666666666666,1.3705281237402474,129.20960416666668,3.9788194444444445,0.20833333333333334,2.8941666666666666,0,0.9633333333333334,7.995,2.533396236784198,130.35666666666665,258.5733333333333,361.00166666666667,536.6983333333333,772.3149999999999,1045.84,1431.9416666666666,130.35666666666665,NA,NA,NA,NA
